train_nll,test_nll,test_ppl,steps_run,depth,d_model,n_heads,d_ff,active_params,pad_params,total_params,padding_ratio,agop_dim,agop_offdiag_energy,agop_offdiag_ratio
0.8515390593196857,0.8515957592964173,2.34338334561966,4883,3,160,10,640,934080,65920,1000000,0.06592,32,69114561.0,0.8968351916964796
0.8516347350545811,0.8516788541793823,2.34357807687498,4883,4,128,8,512,796928,203072,1000000,0.203072,32,619.5076293945323,0.6148549368244938
0.8515422819018218,0.8516878158569335,2.34359907936013,4883,5,128,8,512,994048,5952,1000000,0.005952,32,1506.2070007324228,0.8482144072428052
0.851526310018026,0.8516001386642456,2.343393608179765,4883,6,112,7,448,913248,86752,1000000,0.086752,32,71652.841796875,0.8966610350572817
0.8515837861103681,0.8516921823501586,2.343609312691974,4883,7,96,6,384,783168,216832,1000000,0.216832,32,65158.283203125,0.7876272948726969
0.8515310743239902,0.8516347990036011,2.34347483240509,4883,8,96,6,384,894144,105856,1000000,0.105856,32,475692.03125,0.8372825462299652
0.8516121530010289,0.8517707118988037,2.34379336250008,4883,9,80,5,320,699360,300640,1000000,0.30064,32,500163.67578125,0.9074877271265459
0.8516124057286296,0.8518161789894104,2.3438999303879036,4883,10,80,5,320,776480,223520,1000000,0.22352,32,7104755.5,0.9091585617499544
0.8515467393329914,0.8516161889076233,2.343431220519349,4883,11,80,5,320,853600,146400,1000000,0.1464,32,2046014.921875,0.8935971661362337
0.8515573896159407,0.851647149848938,2.343503776479037,4883,12,80,5,320,930720,69280,1000000,0.06928,32,244989.27734375,0.9116287140030439
