step,lr,train_nll,test_nll
1000,0.0003,0.8716603899002076,0.8711713761329651
2000,0.0002536142762536405,0.8606442475318908,0.8606586838722229
3000,0.00014302434612185582,0.8574515116214753,0.85800855884552
4000,3.675685764502535e-05,0.8526291108131409,0.8530102362632751
4883,4.90937496988586e-11,0.8516534984111785,0.8516878158569335
