step,lr,train_mse,test_mse
500,0.0002995975932024511,0.001824225434102118,0.0018363012075424195
1000,0.00029713435043286735,0.0008637101296335458,0.000906637467443943
1500,0.000292465304714884,0.00027043648976056526,0.0002668198317599793
2000,0.00028566045326383963,0.0002434716602632155,0.00025920014812921485
2500,0.0002768218127831754,0.00014576586118588845,0.00013629923264185588
3000,0.00026608189005444675,0.00023665079963393508,0.00021237764926627277
3500,0.0002536016954273844,6.645791111319947e-05,6.648088619112969e-05
4000,0.00023956832899128764,0.0005272657206902902,0.000493082545697689
4500,0.00022419217561528903,4.300638606461386e-05,4.679028119426221e-05
5000,0.00020770375090877567,3.2253270716561626e-05,2.6277439843397587e-05
5500,0.0001903502453865736,7.483905074574674e-05,8.231247131091854e-05
6000,0.00017239181864794247,0.00011395627458114176,0.00011893984023481607
6500,0.00015409769912616214,4.5250123900283746e-05,4.669126220202694e-05
7000,0.0001357421478803313,3.2356212905142457e-05,2.956353717794021e-05
7500,0.00011760034693924492,4.465525867999531e-05,4.588488015967111e-05
8000,9.994427383831475e-05,2.6668733917176723e-05,2.5448988230588535e-05
8500,8.303862419748684e-05,1.660985199123388e-05,1.7992691854791095e-05
9000,6.713684346789227e-05,1.0634339099245457e-05,1.1397851383662783e-05
9500,5.247732733833493e-05,8.706088677475539e-06,8.423648357468968e-06
10000,3.9279847764211724e-05,9.092025732873784e-06,8.319434312094624e-06
10500,2.774225819898471e-05,8.594271772987364e-06,7.2103862185031175e-06
11000,1.8037527422585546e-05,6.6836604249450224e-06,6.732036861649249e-06
11500,1.0311146434886269e-05,7.5349421301022324e-06,6.5888739093982925e-06
12000,4.678947289469104e-06,6.408694437899006e-06,5.849550109511862e-06
12500,1.2253665672166625e-06,6.414712728049684e-06,5.809892689285334e-06
13000,2.1795233108135024e-09,5.131022984035857e-06,5.667185367201455e-06
13021,4.503158212987301e-12,5.447456733236322e-06,5.6673567936134835e-06
