step,lr,train_mse,test_mse
500,0.0002995975932024511,0.0006079797780451675,0.0006129478185127179
1000,0.00029713435043286735,0.0005655154065849881,0.0005173672450085481
1500,0.000292465304714884,7.32408666711611e-05,8.129251274901132e-05
2000,0.00028566045326383963,0.0008952668914571405,0.0008552895312507947
2500,0.0002768218127831754,4.229066073700475e-05,4.102773849929993e-05
3000,0.00026608189005444675,2.350536943898381e-05,2.4165836492708572e-05
3500,0.0002536016954273844,7.070438616210595e-05,6.488358159549534e-05
4000,0.00023956832899128764,1.798082814881733e-05,1.481808980073159e-05
4500,0.00022419217561528903,9.488875599345193e-05,8.943510047780971e-05
5000,0.00020770375090877567,3.364108735695481e-05,3.581499612967794e-05
5500,0.0001903502453865736,6.277565087657422e-05,6.253746423559884e-05
6000,0.00017239181864794247,1.1835605570619616e-05,1.100951563178872e-05
6500,0.00015409769912616214,0.00032652393953564265,0.0003051866817598542
7000,0.0001357421478803313,6.731416712379238e-06,5.260105079893644e-06
7500,0.00011760034693924492,8.892144093503399e-06,8.163620387980093e-06
8000,9.994427383831475e-05,3.893291238152111e-06,4.092596466459023e-06
8500,8.303862419748684e-05,5.799222089990508e-06,5.622045442578383e-06
9000,6.713684346789227e-05,3.850567245535785e-06,4.034689867694396e-06
9500,5.247732733833493e-05,3.7448934078080735e-06,3.884967130337221e-06
10000,3.9279847764211724e-05,2.2348942062914525e-06,2.15534617867282e-06
10500,2.774225819898471e-05,2.373372218850515e-06,1.873287265577043e-06
11000,1.8037527422585546e-05,2.2098590428261863e-06,2.1242702896415722e-06
11500,1.0311146434886269e-05,2.129320982930949e-06,1.7248024414584507e-06
12000,4.678947289469104e-06,1.5591597851501622e-06,1.6124446362179394e-06
12500,1.2253665672166625e-06,1.8604094869563899e-06,1.538936972792726e-06
13000,2.1795233108135024e-09,1.5736124017469895e-06,1.5283630831011881e-06
13021,4.503158212987301e-12,1.664582208225814e-06,1.5284917960040426e-06
