step,lr,train_mse,test_mse
500,0.0002995975932024511,0.0011114254974139233,0.001187367411951224
1000,0.00029713435043286735,0.0008367311232723296,0.0008401291357974212
1500,0.000292465304714884,0.00031216335211259625,0.00033895476783315343
2000,0.00028566045326383963,0.00010268553790713971,9.996782941743732e-05
2500,0.0002768218127831754,0.00032761144839848084,0.00032026510157932836
3000,0.00026608189005444675,0.0001004384653060697,0.0001142329073821505
3500,0.0002536016954273844,6.911973890964873e-05,6.28743749887993e-05
4000,0.00023956832899128764,4.125776268968669e-05,4.248229344375431e-05
4500,0.00022419217561528903,3.0590981308099195e-05,3.0007650416033965e-05
5000,0.00020770375090877567,4.200805172634622e-05,4.283051192760467e-05
5500,0.0001903502453865736,0.00035282766834522286,0.00035289058151344457
6000,0.00017239181864794247,4.2946486258491255e-05,3.6423258871460956e-05
6500,0.00015409769912616214,1.9584858091548085e-05,1.9367188622709363e-05
7000,0.0001357421478803313,9.577494318364189e-05,9.80382567892472e-05
7500,0.00011760034693924492,1.7595927929505705e-05,1.7720695439493285e-05
8000,9.994427383831475e-05,1.59226367395604e-05,1.6806691555151094e-05
8500,8.303862419748684e-05,1.620764989638701e-05,1.5384677632634216e-05
9000,6.713684346789227e-05,9.302127612803208e-06,7.205419344245456e-06
9500,5.247732733833493e-05,9.450526498161101e-06,7.24534874704356e-06
10000,3.9279847764211724e-05,6.747003790223971e-06,6.006087409332395e-06
10500,2.774225819898471e-05,5.768935158509218e-06,5.847560891803975e-06
11000,1.8037527422585546e-05,5.451030774565879e-06,4.973079451398614e-06
11500,1.0311146434886269e-05,5.758450297435047e-06,5.076234136746886e-06
12000,4.678947289469104e-06,5.085108732600929e-06,4.568304153508507e-06
12500,1.2253665672166625e-06,4.553318237109731e-06,4.414459671049068e-06
13000,2.1795233108135024e-09,5.752453162131132e-06,4.392725941822088e-06
13021,4.503158212987301e-12,4.275344272173243e-06,4.392128592977921e-06
