step,lr,train_mse,test_mse
500,0.0002995975932024511,0.003198963173975547,0.003436289389928182
1000,0.00029713435043286735,0.0017562896866972248,0.0018146092767516771
1500,0.000292465304714884,0.0002717393134177352,0.0002610994648809234
2000,0.00028566045326383963,0.0002758073806762695,0.0003018496353179216
2500,0.0002768218127831754,0.00010371409822255372,0.00010030423089240988
3000,0.00026608189005444675,0.0001468367624329403,0.00013253655075095593
3500,0.0002536016954273844,0.00032087488914839924,0.00031647584152718386
4000,0.00023956832899128764,6.483050781146934e-05,6.0256717377342284e-05
4500,0.00022419217561528903,0.00015476776927243917,0.0001500019005810221
5000,0.00020770375090877567,0.00018007147087094685,0.00016756705737983187
5500,0.0001903502453865736,0.0003293842391576618,0.0003259456108013789
6000,0.00017239181864794247,0.0001520726839468504,0.00014916190365329385
6500,0.00015409769912616214,0.00021666324833252777,0.00020440267740438382
7000,0.0001357421478803313,5.1678130257641894e-05,4.674126351407419e-05
7500,0.00011760034693924492,2.2787154011894018e-05,2.3222825315315278e-05
8000,9.994427383831475e-05,1.6400910972151906e-05,1.4965263816217581e-05
8500,8.303862419748684e-05,2.1230287420621607e-05,1.9650346560714147e-05
9000,6.713684346789227e-05,1.6000585552925865e-05,1.540927173725019e-05
9500,5.247732733833493e-05,0.0001320595391249905,0.00012054926017299295
10000,3.9279847764211724e-05,7.688909796949398e-06,8.095844566317585e-06
10500,2.774225819898471e-05,7.345487338170642e-06,7.380933510527636e-06
11000,1.8037527422585546e-05,9.0213986368326e-06,7.104178876033984e-06
11500,1.0311146434886269e-05,6.778256574762054e-06,6.3759722688701e-06
12000,4.678947289469104e-06,7.386845724492256e-06,6.04934829849905e-06
12500,1.2253665672166625e-06,5.424471103954905e-06,5.861463102822503e-06
13000,2.1795233108135024e-09,6.535242167349982e-06,5.752576274971943e-06
13021,4.503158212987301e-12,7.52369308732644e-06,5.752100808119091e-06
