step,lr,train_mse,test_mse
500,0.0002995975932024511,0.0014293585857376456,0.001501338171462218
1000,0.00029713435043286735,0.00034268877022744466,0.00034229149809107185
1500,0.000292465304714884,0.0003889194231790801,0.0004071657893558343
2000,0.00028566045326383963,0.00011660410304709027,0.00011500529494757453
2500,0.0002768218127831754,0.0003105042156918595,0.0003070606207475066
3000,0.00026608189005444675,9.72413814937075e-05,0.0001003614878281951
3500,0.0002536016954273844,0.0001396897607871021,0.00013515398263310393
4000,0.00023956832899128764,0.00017233345851612588,0.00014818766643293202
4500,0.00022419217561528903,5.40354305121582e-05,5.4342188173905015e-05
5000,0.00020770375090877567,3.395803190263298e-05,3.1373859111530084e-05
5500,0.0001903502453865736,3.375985031501235e-05,3.213751603228351e-05
6000,0.00017239181864794247,4.7326478622077654e-05,4.426475699680547e-05
6500,0.00015409769912616214,2.3755114040492722e-05,2.3070713078292707e-05
7000,0.0001357421478803313,4.894477247338121e-05,5.088448571041226e-05
7500,0.00011760034693924492,0.00011087843236358216,0.00010926928169404466
8000,9.994427383831475e-05,1.273698089789832e-05,1.2331703134501973e-05
8500,8.303862419748684e-05,7.78682700911304e-06,8.103640211629682e-06
9000,6.713684346789227e-05,1.7504231776304855e-05,1.6336989734554662e-05
9500,5.247732733833493e-05,8.380055284457436e-06,7.93262937804684e-06
10000,3.9279847764211724e-05,5.5847178494635345e-06,5.708960054713923e-06
10500,2.774225819898471e-05,1.5172991540263562e-05,1.0064610939783354e-05
11000,1.8037527422585546e-05,4.159317916977064e-06,4.298740949404115e-06
11500,1.0311146434886269e-05,3.7784729071669667e-06,3.809197170388264e-06
12000,4.678947289469104e-06,3.8135131550613247e-06,3.67067282301529e-06
12500,1.2253665672166625e-06,3.5787922721889725e-06,3.582831840806951e-06
13000,2.1795233108135024e-09,3.926239578504465e-06,3.535398483412185e-06
13021,4.503158212987301e-12,3.999448105484286e-06,3.5356647179772457e-06
