step,lr,train_mse,test_mse
500,0.0002995975932024511,0.001076222510697941,0.0010036219656467437
1000,0.00029713435043286735,0.0002769108070060611,0.00029306239386399585
1500,0.000292465304714884,9.707906506567573e-05,9.385243201783548e-05
2000,0.00028566045326383963,0.00013074389232012134,0.00013278434821404516
2500,0.0002768218127831754,4.485007103842994e-05,4.2443020540910464e-05
3000,0.00026608189005444675,0.00021553057886194437,0.00020998333223784963
3500,0.0002536016954273844,0.0002454674212882916,0.0002399978213943541
4000,0.00023956832899128764,2.9292002557970895e-05,2.871124908172836e-05
4500,0.00022419217561528903,0.00012669186195125805,0.00011570335280460615
5000,0.00020770375090877567,2.762696606320484e-05,2.4516481091268362e-05
5500,0.0001903502453865736,3.1660230548974746e-05,2.8960998422310997e-05
6000,0.00017239181864794247,7.370614524309834e-05,6.996737754282852e-05
6500,0.00015409769912616214,1.3547605146110679e-05,1.3580311768843483e-05
7000,0.0001357421478803313,5.452049765153788e-05,5.043913462820153e-05
7500,0.00011760034693924492,1.2437857100546049e-05,1.1070722195048195e-05
8000,9.994427383831475e-05,8.221289202386592e-06,7.619941185112111e-06
8500,8.303862419748684e-05,2.6526913522199418e-05,2.5251803880867857e-05
9000,6.713684346789227e-05,8.135189273161813e-06,7.33907507189239e-06
9500,5.247732733833493e-05,4.503420580779978e-06,4.995622630910172e-06
10000,3.9279847764211724e-05,5.714632619249945e-06,5.1560668119539815e-06
10500,2.774225819898471e-05,5.888015142166599e-06,5.528293130434273e-06
11000,1.8037527422585546e-05,5.850983258521107e-06,5.2651564571230365e-06
11500,1.0311146434886269e-05,3.3298752714472358e-06,2.593793661314218e-06
12000,4.678947289469104e-06,3.728539046884786e-06,3.4324257236827786e-06
12500,1.2253665672166625e-06,2.87132843065289e-06,2.409272184498453e-06
13000,2.1795233108135024e-09,2.360092007620551e-06,2.372946659306763e-06
13021,4.503158212987301e-12,2.6439068187755766e-06,2.3729392754224437e-06
