step,lr,train_mse,test_mse
500,0.0002995975932024511,0.000690735400809596,0.0008274259380996227
1000,0.00029713435043286735,0.0002279543218901381,0.00022919306345283986
1500,0.000292465304714884,0.00041453368961811063,0.0004651118889451027
2000,0.00028566045326383963,9.839664543202767e-05,9.636471164412796e-05
2500,0.0002768218127831754,9.392311398793633e-05,0.00010274623916484416
3000,0.00026608189005444675,0.0002553611136196802,0.0002651424313274523
3500,0.0002536016954273844,6.118578734458424e-05,5.6842178455553946e-05
4000,0.00023956832899128764,0.0007781938378078243,0.0007660148305197557
4500,0.00022419217561528903,3.346448366452629e-05,3.335971736426776e-05
5000,0.00020770375090877567,3.599526816590999e-05,3.8603389635682107e-05
5500,0.0001903502453865736,4.427892689515526e-05,4.43101548589766e-05
6000,0.00017239181864794247,5.672349075515134e-05,5.035388741331796e-05
6500,0.00015409769912616214,1.6704174631740896e-05,1.630558636194716e-05
7000,0.0001357421478803313,1.5207613056797224e-05,1.2539439058552186e-05
7500,0.00011760034693924492,1.89996662811609e-05,1.747541824200501e-05
8000,9.994427383831475e-05,8.443681193360439e-06,8.175541025896867e-06
8500,8.303862419748684e-05,8.297570996849875e-06,7.1098299910469605e-06
9000,6.713684346789227e-05,5.594779971337024e-06,5.99999234934027e-06
9500,5.247732733833493e-05,4.536400895934397e-06,4.393537674332037e-06
10000,3.9279847764211724e-05,4.729091242552385e-06,3.847076901971984e-06
10500,2.774225819898471e-05,5.3815220053365916e-06,5.191733890872759e-06
11000,1.8037527422585546e-05,2.9604269730043597e-06,3.3762917737476526e-06
11500,1.0311146434886269e-05,3.2041350671837183e-06,2.8974615173259127e-06
12000,4.678947289469104e-06,2.8971576618156784e-06,2.7654217459106195e-06
12500,1.2253665672166625e-06,2.4494880593313915e-06,2.6882186175498646e-06
13000,2.1795233108135024e-09,2.524221451191503e-06,2.6653586610336787e-06
13021,4.503158212987301e-12,3.1698839059875658e-06,2.6657600077063156e-06
