step,lr,train_mse,test_mse
500,0.0002995975932024511,0.00048291453276760876,0.0005047577253232399
1000,0.00029713435043286735,9.038384829182177e-05,9.03338814387098e-05
1500,0.000292465304714884,6.462516156413283e-05,5.9250006801448765e-05
2000,0.00028566045326383963,0.007623671318093936,0.007820690939823786
2500,0.0002768218127831754,1.8051342934389443e-05,1.4844291649448375e-05
3000,0.00026608189005444675,1.388939241830182e-05,1.379334096175929e-05
3500,0.0002536016954273844,1.558915013447404e-05,1.411596223867188e-05
4000,0.00023956832899128764,6.761720348246551e-06,6.608016539151625e-06
4500,0.00022419217561528903,6.225497957833189e-06,6.224983706488274e-06
5000,0.00020770375090877567,0.00014193122469199202,0.00014334252670717735
5500,0.0001903502453865736,7.943870907183736e-05,7.87610097322613e-05
6000,0.00017239181864794247,4.310816186868275e-05,4.0446651439803345e-05
6500,0.00015409769912616214,2.9372178202417367e-06,2.761005292995833e-06
7000,0.0001357421478803313,7.29102657836241e-05,7.387641204210619e-05
7500,0.00011760034693924492,2.2118609710256955e-06,2.203609603990723e-06
8000,9.994427383831475e-05,1.2411121570039541e-05,1.2644512831078221e-05
8500,8.303862419748684e-05,1.8398368138150545e-06,1.7144895912982368e-06
9000,6.713684346789227e-05,1.3051278043955488e-06,1.2337005937297363e-06
9500,5.247732733833493e-05,2.8934226550821527e-06,2.6557683171025323e-06
10000,3.9279847764211724e-05,1.2632588034951672e-06,1.139475615370126e-06
10500,2.774225819898471e-05,3.1532562570646405e-06,3.192513247389191e-06
11000,1.8037527422585546e-05,8.357372795823418e-07,7.651788194683225e-07
11500,1.0311146434886269e-05,6.981016607217801e-07,7.569379413325805e-07
12000,4.678947289469104e-06,6.730616049329304e-07,6.439868029701756e-07
12500,1.2253665672166625e-06,7.32475521848149e-07,6.118732223209614e-07
13000,2.1795233108135024e-09,6.161639430501964e-07,5.920223581294219e-07
13021,4.503158212987301e-12,8.896579591540407e-07,5.920388845576478e-07
