step,lr,train_mse,test_mse
500,0.0002995975932024511,0.0004816985238964359,0.0004433945262183746
1000,0.00029713435043286735,0.00015624276517579953,0.00015409767689804235
1500,0.000292465304714884,8.78466844248275e-05,9.241151196571688e-05
2000,0.00028566045326383963,9.401071137593439e-05,9.002383387026688e-05
2500,0.0002768218127831754,7.142031710827724e-05,7.545893204708894e-05
3000,0.00026608189005444675,5.403079931663039e-05,4.8666647402569655e-05
3500,0.0002536016954273844,0.00038272693559216956,0.0003870247608671586
4000,0.00023956832899128764,2.523595573923861e-05,2.387171657755971e-05
4500,0.00022419217561528903,4.797766048189563e-05,4.661242431029677e-05
5000,0.00020770375090877567,1.5809776086825878e-05,1.187467234073362e-05
5500,0.0001903502453865736,0.00017426455956107625,0.0001819076364239057
6000,0.00017239181864794247,2.822488100112726e-05,2.6616678417970737e-05
6500,0.00015409769912616214,4.6498741527708866e-05,4.5303291951616606e-05
7000,0.0001357421478803313,4.388781540910713e-05,4.6155281364917755e-05
7500,0.00011760034693924492,7.299686064167569e-06,7.079896895447746e-06
8000,9.994427383831475e-05,8.65894284894845e-06,8.703586368937976e-06
8500,8.303862419748684e-05,6.057091159163974e-06,4.603504896901237e-06
9000,6.713684346789227e-05,5.57558604972049e-06,4.260392689805788e-06
9500,5.247732733833493e-05,3.0103216825712783e-06,2.4678234209811006e-06
10000,3.9279847764211724e-05,2.4782565105851973e-06,2.0625598917831665e-06
10500,2.774225819898471e-05,2.219846913552222e-06,2.1979747082999286e-06
11000,1.8037527422585546e-05,1.8713578113723391e-06,1.6951613482281876e-06
11500,1.0311146434886269e-05,1.9720490142087026e-06,1.4823651799815708e-06
12000,4.678947289469104e-06,1.6125806299290464e-06,1.472213309170911e-06
12500,1.2253665672166625e-06,1.3269370401758352e-06,1.3775951811112463e-06
13000,2.1795233108135024e-09,1.599795490771309e-06,1.3468627948896028e-06
13021,4.503158212987301e-12,1.6147304086189252e-06,1.3469583791447803e-06
