step,lr,train_loss,train_acc,test_loss,test_acc
97,0.00029099999999999997,1.8085439968109132,0.34625,1.7843838771820069,0.3653
194,0.0005819999999999999,1.6995616221427918,0.39125,1.6621881439208985,0.4051
291,0.000873,1.6993735194206239,0.38859375,1.625292879486084,0.4128
388,0.0011639999999999999,1.6415300464630127,0.40671875,1.6025337535858155,0.4238
485,0.0014550000000000001,1.592992401123047,0.4328125,1.5377689811706543,0.447
582,0.001746,1.5201879477500915,0.45328125,1.4641329456329346,0.4716
679,0.0020369999999999997,1.423964831829071,0.48453125,1.3852039978027344,0.5028
776,0.0023279999999999998,1.3800347304344178,0.5059375,1.3328936981201172,0.5258
873,0.0026190000000000002,1.3834063196182251,0.50390625,1.3601927785873413,0.5114
970,0.0029100000000000003,1.281910903453827,0.53390625,1.2973280876159667,0.5316
1067,0.0029995804094496126,1.2991505813598634,0.533125,1.2769480434417724,0.54
1164,0.0029974413565000656,1.2094002330303193,0.56609375,1.186076852798462,0.5775
1261,0.0029934928544634418,1.1548860025405885,0.59265625,1.1626523572921752,0.5875
1358,0.0029877396745539024,1.138910700082779,0.5909375,1.1291607969284057,0.5978
1455,0.0029801887686871868,1.1345956420898438,0.59625,1.1406504215240478,0.5952
1552,0.0029708492610801924,1.115691225528717,0.60359375,1.0885436346054078,0.6124
1649,0.0029597324372256286,1.060535043478012,0.62171875,1.0608495012283325,0.6222
1746,0.002946851730255076,1.059020484685898,0.61859375,1.035692673110962,0.6298
1843,0.002932222704706917,1.067198920249939,0.62671875,1.0643446444511413,0.6252
1940,0.0029158630377187625,1.038029910326004,0.6334375,1.0279021353721618,0.6386
2037,0.002897792497667095,0.9873492479324341,0.65484375,0.9878037261962891,0.652
2134,0.002878032920279944,0.9552717125415802,0.65296875,0.979957386302948,0.6543
2231,0.00285660818225145,0.928433039188385,0.6696875,0.9665679941177369,0.6603
2328,0.002833544172390213,0.9359052681922913,0.66453125,0.975745113658905,0.6532
2425,0.002808868760336274,0.9344262194633484,0.6659375,0.9531318594932556,0.6639
2522,0.0027826117628845398,0.9356487321853638,0.674375,0.972901275253296,0.659
2619,0.002754804907955349,0.9037313318252563,0.6753125,0.9354341064453126,0.6677
2716,0.002725481796255698,0.8621296572685242,0.69328125,0.9223876921653748,0.6725
2813,0.0026946778606774776,0.854573860168457,0.6971875,0.8951827851295471,0.6825
2910,0.0026624303234817582,0.8654862821102143,0.69375,0.9179058870315552,0.6735
3007,0.00262877815132088,0.8426335847377777,0.690625,0.8916443964958191,0.6858
3104,0.002593762008152687,0.8368636953830719,0.7053125,0.9103379072189332,0.6832
3201,0.0025574242061038046,0.8121366047859192,0.7140625,0.8984817245483399,0.6837
3298,0.0025198086543413312,0.7868752014636994,0.7196875,0.8947360695838928,0.6897
3395,0.002480960806014734,0.8348420441150666,0.70328125,0.8921009918212891,0.6935
3492,0.0024409276033320573,0.769411404132843,0.7290625,0.8680212265014648,0.6952
3589,0.0023997574208368066,0.7954939031600952,0.71859375,0.8522788386344909,0.7054
3686,0.002357500006954058,0.7368627178668976,0.7384375,0.8507650359153748,0.7044
3783,0.002314206423876426,0.7303265452384948,0.73578125,0.8355767154693603,0.7082
3880,0.0022699289858625175,0.755522608757019,0.73703125,0.8510187698364258,0.7094
3977,0.002224721196022453,0.7233949398994446,0.74453125,0.8294967364311219,0.7098
4074,0.0021786376816668096,0.7354672598838806,0.7471875,0.8419990039825439,0.7091
4171,0.0021317341282971396,0.7085460293292999,0.74859375,0.8452281555175781,0.7078
4268,0.0020840672123178016,0.6851526939868927,0.76203125,0.8179563713550567,0.7164
4365,0.002035694532550431,0.6936599576473236,0.75296875,0.8391982393264771,0.7095
4462,0.001986674540633795,0.6838997948169708,0.75265625,0.8182267353057862,0.7147
4559,0.0019370664703931356,0.6815649700164795,0.76453125,0.8072879920959473,0.7192
4656,0.0018869302662643534,0.6471757543087006,0.77390625,0.78658732919693,0.7266
4753,0.0018363265108595126,0.6735607969760895,0.76328125,0.8278531235218048,0.7176
4850,0.001785316351761203,0.6459939515590668,0.76359375,0.8212609149932861,0.7177
4947,0.0017339614276342128,0.6453052055835724,0.7725,0.8006867214202881,0.7253
5044,0.0016823237937437935,0.6113819748163223,0.78640625,0.7959142330169677,0.7298
5141,0.001630465846970529,0.613446232676506,0.7875,0.7999678174972534,0.7224
5238,0.0015784502504124032,0.6311717557907105,0.78046875,0.7871593182086944,0.7285
5335,0.0015263398576651822,0.6070557618141175,0.78140625,0.7667861190795898,0.7377
5432,0.0014741976368726093,0.6168397229909897,0.781875,0.7911594244003296,0.7305
5529,0.001422086594638184,0.5888234180212021,0.79234375,0.7676507416248322,0.734
5626,0.0013700696998904633,0.5948839837312698,0.7834375,0.7701992118835449,0.7392
