step,lr,train_loss,train_acc,test_loss,test_acc
97,0.00029099999999999997,1.8631567502021789,0.32546875,1.8435826345443727,0.3428
194,0.0005819999999999999,1.7225717687606812,0.37125,1.6721702335357667,0.3917
291,0.000873,1.6470215940475463,0.41109375,1.6014127014160155,0.4295
388,0.0011639999999999999,1.5891927099227905,0.41765625,1.541187776184082,0.4363
485,0.0014550000000000001,1.5160877108573914,0.45015625,1.4841279426574707,0.469
582,0.001746,1.5149709725379943,0.4596875,1.4610753595352173,0.4801
679,0.0020369999999999997,1.4599891901016235,0.46828125,1.4074598123550415,0.4981
776,0.0023279999999999998,1.420065722465515,0.49109375,1.3810747289657592,0.5072
873,0.0026190000000000002,1.3983257842063903,0.49484375,1.3337954200744628,0.5172
970,0.0029100000000000003,1.3549231219291686,0.510625,1.3193472177505494,0.526
1067,0.0029995804094496126,1.2687288236618042,0.54015625,1.2386106010437012,0.5594
1164,0.0029974413565000656,1.2672814702987671,0.54765625,1.2342097059249877,0.5672
1261,0.0029934928544634418,1.2497666382789612,0.5534375,1.2251288604736328,0.564
1358,0.0029877396745539024,1.137684714794159,0.588125,1.1439012050628663,0.5945
1455,0.0029801887686871868,1.1670656871795655,0.58078125,1.1397061584472656,0.5954
1552,0.0029708492610801924,1.0848779559135437,0.60671875,1.102114134979248,0.6063
1649,0.0029597324372256286,1.0621581864356995,0.62765625,1.0911792148590087,0.61
1746,0.002946851730255076,1.0455016791820526,0.63015625,1.0558770332336427,0.6262
1843,0.002932222704706917,1.0583639025688172,0.61640625,1.0456315504074096,0.632
1940,0.0029158630377187625,0.996452716588974,0.64875,1.0328348934173583,0.6392
2037,0.002897792497667095,1.0196125411987305,0.638125,1.0391676191329957,0.6291
2134,0.002878032920279944,0.9996498060226441,0.6371875,1.0352503131866455,0.6404
2231,0.00285660818225145,0.9824556767940521,0.64953125,1.008830011367798,0.6414
2328,0.002833544172390213,0.9770380878448486,0.65578125,1.0231231767654418,0.6389
2425,0.002808868760336274,0.9481504797935486,0.66640625,0.9854750732421875,0.6532
2522,0.0027826117628845398,0.9473942148685456,0.6628125,0.972420732498169,0.6625
2619,0.002754804907955349,0.9007431852817536,0.6753125,0.9711851697921753,0.657
2716,0.002725481796255698,0.9172671413421631,0.676875,0.9938584949493409,0.6538
2813,0.0026946778606774776,0.889872510433197,0.68359375,0.9334285339355469,0.671
2910,0.0026624303234817582,0.8647254347801209,0.69765625,0.9193337779998779,0.6804
3007,0.00262877815132088,0.8469300699234009,0.69359375,0.8967143809318543,0.6866
3104,0.002593762008152687,0.8606910002231598,0.68515625,0.906098422241211,0.6825
3201,0.0025574242061038046,0.8296686208248139,0.7034375,0.8944039823532105,0.6835
3298,0.0025198086543413312,0.8110422813892364,0.71578125,0.8898004679679871,0.686
3395,0.002480960806014734,0.8242488706111908,0.7103125,0.9029353088378906,0.6858
3492,0.0024409276033320573,0.7835095071792603,0.72671875,0.8720085275650025,0.6956
3589,0.0023997574208368066,0.7855364179611206,0.72078125,0.8516609418869019,0.702
3686,0.002357500006954058,0.7810775005817413,0.72078125,0.8776310497283936,0.6926
