step,lr,train_loss,train_acc,test_loss,test_acc
97,0.00029099999999999997,1.9760611414909364,0.268125,1.9464036464691161,0.2912
194,0.0005819999999999999,1.795387442111969,0.33875,1.7571882486343384,0.3645
291,0.000873,1.723082938194275,0.371875,1.6771050567626953,0.3908
388,0.0011639999999999999,1.6759593486785889,0.38546875,1.6419387462615966,0.4056
485,0.0014550000000000001,1.6282739186286925,0.4078125,1.5650132619857788,0.4345
582,0.001746,1.5870936012268066,0.4271875,1.5340285354614258,0.4435
679,0.0020369999999999997,1.5017206954956055,0.4615625,1.4431808280944824,0.4832
776,0.0023279999999999998,1.4620591068267823,0.4765625,1.425070707321167,0.4906
873,0.0026190000000000002,1.470176908969879,0.46921875,1.4052404876708984,0.493
970,0.0029100000000000003,1.4248821687698365,0.48703125,1.3597908128738403,0.511
1067,0.0029995804094496126,1.3333060979843139,0.519375,1.3150418899536134,0.5293
1164,0.0029974413565000656,1.3611555361747742,0.5134375,1.316232727432251,0.5274
1261,0.0029934928544634418,1.2776113438606262,0.54015625,1.2473324226379394,0.5533
1358,0.0029877396745539024,1.2840762734413147,0.5378125,1.2739323810577392,0.5498
1455,0.0029801887686871868,1.226918706893921,0.55671875,1.2068125217437744,0.5658
1552,0.0029708492610801924,1.2069217109680175,0.56046875,1.1786415977478026,0.5775
1649,0.0029597324372256286,1.1876995968818664,0.569375,1.1817801361083984,0.5743
1746,0.002946851730255076,1.1601045262813567,0.5834375,1.1358486457824708,0.5982
1843,0.002932222704706917,1.1277810215950013,0.59421875,1.1206317539215087,0.6036
1940,0.0029158630377187625,1.0993573546409607,0.61453125,1.108312377357483,0.6062
2037,0.002897792497667095,1.0798917925357818,0.61953125,1.0890677000045776,0.6147
2134,0.002878032920279944,1.0853499794006347,0.61515625,1.0558200939178466,0.6284
2231,0.00285660818225145,1.0751083719730377,0.6159375,1.0483786039352416,0.6263
2328,0.002833544172390213,1.0810753500461578,0.61671875,1.082700977897644,0.6196
2425,0.002808868760336274,1.0463477277755737,0.62546875,1.030182900619507,0.6402
2522,0.0027826117628845398,1.0473795413970948,0.63390625,1.0491345481872558,0.6382
2619,0.002754804907955349,1.0444537901878357,0.63203125,1.0359461688995362,0.6357
2716,0.002725481796255698,1.0003070032596588,0.6559375,1.0180666786193848,0.6433
2813,0.0026946778606774776,0.9883010244369507,0.64890625,1.0177980434417724,0.6437
2910,0.0026624303234817582,0.9997408652305603,0.649375,1.0213913745880128,0.6448
3007,0.00262877815132088,0.9167803335189819,0.6728125,0.9800082681655884,0.6543
3104,0.002593762008152687,0.9302713322639465,0.66296875,0.9791733633041382,0.6553
3201,0.0025574242061038046,0.9666033446788788,0.6546875,0.9773846225738525,0.6544
3298,0.0025198086543413312,0.9055119264125824,0.68046875,0.9665177513122558,0.6624
3395,0.002480960806014734,0.9143419206142426,0.67046875,0.9633428562164307,0.6623
3492,0.0024409276033320573,0.9352843749523163,0.66625,0.9734650789260865,0.6583
3589,0.0023997574208368066,0.918291494846344,0.67546875,0.9441699340820312,0.663
3686,0.002357500006954058,0.8907005476951599,0.67828125,0.9288531604766845,0.6748
3783,0.002314206423876426,0.9009178876876831,0.68234375,0.9520115856170654,0.6665
3880,0.0022699289858625175,0.8840269625186921,0.69046875,0.9307705154418945,0.6758
3977,0.002224721196022453,0.883416793346405,0.6925,0.9257195369720459,0.677
4074,0.0021786376816668096,0.8536541390419007,0.6909375,0.912802271270752,0.6775
4171,0.0021317341282971396,0.8324145901203156,0.70625,0.9058906005859375,0.681
4268,0.0020840672123178016,0.8333345413208008,0.70375,0.9125531463623047,0.6816
4365,0.002035694532550431,0.8522846865653991,0.70109375,0.9224266748428345,0.672
4462,0.001986674540633795,0.8204142928123475,0.71109375,0.889416759109497,0.6868
4559,0.0019370664703931356,0.8384470653533935,0.7028125,0.9018125485420228,0.6817
4656,0.0018869302662643534,0.8225997471809388,0.708125,0.9123885118484497,0.6775
4753,0.0018363265108595126,0.7982447075843812,0.718125,0.8857271408081054,0.6915
4850,0.001785316351761203,0.8408255803585053,0.69984375,0.9054990976333618,0.6822
4947,0.0017339614276342128,0.7830726289749146,0.72,0.8745282360076905,0.6945
5044,0.0016823237937437935,0.7874085640907288,0.72359375,0.8731983177185059,0.6977
5141,0.001630465846970529,0.7716082072257996,0.7265625,0.8544604820251465,0.7011
5238,0.0015784502504124032,0.7868304347991943,0.72140625,0.8590159830093383,0.6996
5335,0.0015263398576651822,0.7622358047962189,0.7271875,0.870027765083313,0.695
5432,0.0014741976368726093,0.7547328650951386,0.73875,0.8390978029251098,0.7104
5529,0.001422086594638184,0.7350833398103714,0.7428125,0.85055947265625,0.7023
5626,0.0013700696998904633,0.7436816608905792,0.735625,0.8594806102752686,0.6995
5723,0.0013182098077938955,0.7384989666938782,0.74671875,0.8437363816261292,0.7037
5820,0.0012665695837971165,0.7138660740852356,0.75046875,0.8388865661621093,0.7078
5917,0.001215211427910491,0.7102501153945923,0.74859375,0.833177970123291,0.7085
6014,0.0011641973993044038,0.6941036611795426,0.75765625,0.8378572082519531,0.7073
6111,0.0011135891413194018,0.6998816525936127,0.75140625,0.8442756563186645,0.7084
6208,0.001063447806978816,0.6903045272827149,0.7528125,0.82807090549469,0.7119
6305,0.0010138339850938565,0.7189527344703674,0.74203125,0.8323017484664917,0.7115
6402,0.0009648076270504835,0.6996504175662994,0.7521875,0.8243971473693847,0.714
6499,0.0009164279743665156,0.6788304209709167,0.76015625,0.8208706562042236,0.7162
6596,0.000868753487106517,0.6809707564115525,0.756875,0.8299602590560913,0.712
6693,0.0008218417732409604,0.6704760038852692,0.7659375,0.8200229656219482,0.7156
6790,0.0007757495190350274,0.6629873025417328,0.7634375,0.8187804672241211,0.7167
6887,0.0007305324205511582,0.6427983856201172,0.77046875,0.816419009399414,0.7185
6984,0.00068624511634813,0.666456470489502,0.76640625,0.8091700498580933,0.7218
7081,0.0006429411214579753,0.6549584007263184,0.76859375,0.8066993793487549,0.722
7178,0.0006006727627205265,0.6640214049816131,0.7696875,0.8090282819747925,0.7223
7275,0.0005594911155537283,0.6288380813598633,0.78046875,0.80515807762146,0.7247
7372,0.0005194459422361142,0.6454741269350052,0.775,0.818195613861084,0.7184
7469,0.00048058563177603194,0.6217217773199082,0.780625,0.7988214679718018,0.7304
7566,0.0004429571414402765,0.635039473772049,0.7703125,0.8048313625335693,0.7262
7663,0.0004066059400127772,0.6276366531848907,0.7753125,0.8174917497634888,0.7199
7760,0.00037157595285191425,0.6411881750822067,0.77125,0.8032222408294678,0.7274
7857,0.0003379095088128469,0.6268674999475479,0.780625,0.8010165859222412,0.7269
7954,0.0003056472890989933,0.5947889924049378,0.7903125,0.7986853950500489,0.7312
8051,0.00027482827810447073,0.6217489004135132,0.7825,0.7977846294403076,0.7299
8148,0.00024548971630688836,0.6092051285505294,0.7871875,0.7984565710067749,0.7305
8245,0.0002176670552674247,0.5922755205631256,0.78734375,0.7970489904403687,0.73
8342,0.00019139391479255796,0.6251168191432953,0.77984375,0.7977444244384766,0.7281
8439,0.00016670204230921805,0.5955358111858368,0.78796875,0.7959847579956054,0.7303
8536,0.00014362127450244654,0.624869338274002,0.7803125,0.7962708545684815,0.7312
8633,0.00012217950126192523,0.5753665751218796,0.800625,0.7926897178649902,0.7302
8730,0.00010240263198093125,0.6102064800262451,0.7834375,0.7949072425842285,0.7327
8827,8.431456424844913e-05,0.6048349648714065,0.78515625,0.792738313293457,0.7327
8924,6.793715497226604e-05,0.590819925069809,0.7909375,0.798306953048706,0.7309
9021,5.329019396794593e-05,0.5747099530696869,0.7984375,0.7955175674438476,0.7332
9118,4.039138004559745e-05,0.5888218587636947,0.79234375,0.7953515026092529,0.7326
9215,2.925629962332993e-05,0.5997200787067414,0.78765625,0.7941559875488281,0.7332
9312,1.9898407893239545e-05,0.5773168981075287,0.79828125,0.7930552083969116,0.7333
9409,1.2329012562686092e-05,0.5912581640481949,0.78703125,0.793879260635376,0.7319
9506,6.5572601905058986e-06,0.5784237289428711,0.7953125,0.7929578811645508,0.7329
9603,2.5901251346696074e-06,0.5857330387830735,0.79734375,0.7930682071685791,0.7326
9700,4.324011247438531e-07,0.5892942553758621,0.79171875,0.7930960517883301,0.7324
9766,9.632922609581485e-11,0.601624282002449,0.789375,0.793109578704834,0.7323
