step,lr,train_loss,train_acc,test_loss,test_acc
97,0.00029099999999999997,1.980341498851776,0.29859375,1.9547837131500243,0.3131
194,0.0005819999999999999,1.8408938503265382,0.3309375,1.8208920639038086,0.3304
291,0.000873,1.7106299328804015,0.3965625,1.6572538200378417,0.415
388,0.0011639999999999999,1.6714531207084655,0.39109375,1.6400779174804687,0.3999
485,0.0014550000000000001,1.6502988600730897,0.413125,1.6154539438247681,0.429
582,0.001746,1.5675301623344422,0.428125,1.5038830532073975,0.4522
679,0.0020369999999999997,1.5161692714691162,0.46109375,1.474484383392334,0.4736
776,0.0023279999999999998,1.5260400104522704,0.44859375,1.4681622230529785,0.4735
873,0.0026190000000000002,1.523917660713196,0.44796875,1.502469786453247,0.4616
970,0.0029100000000000003,1.4305303883552551,0.49390625,1.3967013708114624,0.5008
1067,0.0029995804094496126,1.3985560202598573,0.49671875,1.3392191585540771,0.5234
1164,0.0029974413565000656,1.3705841827392578,0.516875,1.330288582801819,0.5316
1261,0.0029934928544634418,1.3252835202217101,0.51734375,1.296025976753235,0.5357
1358,0.0029877396745539024,1.310044755935669,0.53734375,1.294372498703003,0.5446
1455,0.0029801887686871868,1.2559022092819214,0.5484375,1.2279073501586915,0.5673
1552,0.0029708492610801924,1.2273069858551025,0.56265625,1.2041098003387452,0.5745
1649,0.0029597324372256286,1.2444700503349304,0.55640625,1.2098085107803345,0.571
1746,0.002946851730255076,1.2510069668293,0.55359375,1.230555912590027,0.5627
1843,0.002932222704706917,1.1837327456474305,0.57359375,1.1670300407409668,0.5794
1940,0.0029158630377187625,1.2062013471126556,0.5653125,1.1985593978881837,0.5728
2037,0.002897792497667095,1.1438805103302,0.5946875,1.1325079301834107,0.597
2134,0.002878032920279944,1.1191125535964965,0.60171875,1.1234632383346557,0.5986
2231,0.00285660818225145,1.1127099895477295,0.60015625,1.1209949695587158,0.6038
2328,0.002833544172390213,1.1080397641658783,0.60390625,1.121245860671997,0.608
2425,0.002808868760336274,1.105718332529068,0.60515625,1.0927203876495362,0.6118
2522,0.0027826117628845398,1.058539208173752,0.62421875,1.0769018636703491,0.6157
2619,0.002754804907955349,1.0740758323669433,0.61921875,1.0862929050445556,0.6115
2716,0.002725481796255698,1.0320170652866363,0.63375,1.072962671661377,0.6215
2813,0.0026946778606774776,1.0180541825294496,0.63671875,1.0641865461349487,0.6247
2910,0.0026624303234817582,1.0132042467594147,0.63359375,1.0495679332733154,0.6303
3007,0.00262877815132088,1.024833641052246,0.63984375,1.0603260078430177,0.6258
3104,0.002593762008152687,1.000239201784134,0.6396875,1.0483395156860351,0.6293
3201,0.0025574242061038046,0.990329018831253,0.6484375,1.0292702227592467,0.6442
3298,0.0025198086543413312,0.9789641463756561,0.650625,1.003854847717285,0.6444
3395,0.002480960806014734,0.9750407767295838,0.653125,1.0042210332870483,0.6454
3492,0.0024409276033320573,0.9729118001461029,0.65921875,0.9959173458099365,0.6528
3589,0.0023997574208368066,0.9656515324115753,0.66046875,1.0076490866661072,0.6482
3686,0.002357500006954058,0.940943547487259,0.66859375,0.9817765053749085,0.6545
3783,0.002314206423876426,0.970001289844513,0.65234375,1.0045718231201173,0.6463
3880,0.0022699289858625175,0.9292886996269226,0.67875,0.9955434642791748,0.65
3977,0.002224721196022453,0.9303030800819397,0.671875,0.9697552215576172,0.6558
4074,0.0021786376816668096,0.9213029849529266,0.67046875,0.9519333875656127,0.6658
4171,0.0021317341282971396,0.8874940097332,0.6828125,0.9528082872390747,0.6697
4268,0.0020840672123178016,0.8818327784538269,0.68859375,0.9462878229141235,0.6676
4365,0.002035694532550431,0.8603959369659424,0.7040625,0.9434176497459411,0.671
4462,0.001986674540633795,0.8922848272323608,0.6784375,0.9700956338882446,0.6626
4559,0.0019370664703931356,0.8705354428291321,0.69578125,0.9317467231750488,0.6718
4656,0.0018869302662643534,0.8827354681491851,0.68734375,0.9249625483512879,0.6781
4753,0.0018363265108595126,0.8512644815444946,0.69796875,0.9365742418289185,0.6751
4850,0.001785316351761203,0.8514103925228119,0.698125,0.9148297094345093,0.6764
4947,0.0017339614276342128,0.830667713880539,0.71171875,0.9174211056709289,0.6801
5044,0.0016823237937437935,0.8199124574661255,0.70578125,0.908206166934967,0.6852
5141,0.001630465846970529,0.8165301907062531,0.70875,0.9066391236305237,0.6856
5238,0.0015784502504124032,0.8056518828868866,0.7140625,0.9013286454200745,0.6815
5335,0.0015263398576651822,0.8028496551513672,0.71640625,0.8867927521705627,0.6896
5432,0.0014741976368726093,0.7920351469516754,0.72078125,0.8816810073852539,0.6908
