step,lr,train_mse,test_mse
50,0.00010245901639344262,0.5945160293579101,0.6011934909820557
100,0.00020491803278688525,0.39856131851673127,0.4018528537750244
150,0.00030737704918032784,0.30859514117240905,0.31668437004089356
200,0.0004098360655737705,0.2541085559129715,0.2605806655883789
250,0.0005122950819672131,0.21319994032382966,0.21829134845733641
300,0.0006147540983606557,0.18758301973342895,0.1929858865737915
350,0.0007172131147540984,0.17330366790294646,0.17670495796203614
400,0.000819672131147541,0.16214971989393234,0.1672795000076294
450,0.0009221311475409836,0.14637791067361833,0.15310608434677125
500,0.000999984543714613,0.1471678724884987,0.1510898485183716
550,0.0009995247601443948,0.13275093227624893,0.13578731870651245
600,0.0009984269587898415,0.12863096386194228,0.13273456764221192
650,0.00099669254181726,0.12187397092580796,0.12521356868743896
700,0.0009943237245099797,0.11856159657239913,0.12096823024749756
750,0.000991323532438884,0.11366214498877525,0.11493790578842163
800,0.0009876957975980011,0.10596367999911309,0.10964429378509521
850,0.0009834451535100915,0.1063782599568367,0.1098878583908081
900,0.0009785770293084816,0.10303742662072182,0.10544359493255616
950,0.0009730976428027077,0.09777140364050865,0.10007210731506348
1000,0.0009670139925368193,0.09601326704025269,0.09903853702545166
1050,0.0009603338488504935,0.09298868447542191,0.09585359144210816
1100,0.0009530657439543711,0.08909698024392128,0.09124774885177613
1150,0.0009452189610322938,0.08809439137578011,0.09113121366500855
1200,0.0009368035223843632,0.08439830973744393,0.08674877548217773
1250,0.0009278301766259607,0.08206450924277306,0.08571489572525025
1300,0.0009183103849590839,0.08205111742019654,0.08473469924926758
1350,0.0009082563065335312,0.07968532264232636,0.08224826622009278
1400,0.0008976807829166331,0.07851397156715394,0.08131862902641296
1450,0.0008865973216913656,0.07662744015455246,0.08044627642631531
1500,0.000875020079203796,0.07503782078623772,0.07774068403244018
1550,0.0008629638424818955,0.07235984474420548,0.076322359085083
1600,0.0008504440103488143,0.07130804717540741,0.07478442049026489
1650,0.000837476573754742,0.06968972012400627,0.07281023144721985
1700,0.0008240780953524726,0.06885992959141732,0.07202001309394837
1750,0.0008102656883427632,0.06774415701627731,0.07041265773773193
1800,0.000796056994616507,0.06657705664634704,0.07036836051940917
1850,0.0007814701622216341,0.06468049839138984,0.06789601850509644
1900,0.000766523822183526,0.06429119542241096,0.06726565051078796
1950,0.0007512370647085469,0.06304748952388764,0.06587387871742248
2000,0.000735629414801085,0.062015749886631964,0.06398915219306946
2050,0.0007197208073252494,0.06148235373198986,0.06485151934623719
2100,0.0007035315615430735,0.0603879938274622,0.06408625912666321
2150,0.0006870823551617467,0.06080467373132706,0.0638223831653595
2200,0.0006703941979230209,0.057954335659742354,0.06007796835899353
2250,0.0006534884047685281,0.055544827431440354,0.05875397443771362
2300,0.0006363865686152794,0.055908242091536525,0.05905836868286133
2350,0.0006191105327761216,0.05551696352660656,0.058910027265548705
2400,0.0006016823630603753,0.05428286649286747,0.056771970987319946
2450,0.000584124319590289,0.052956638261675834,0.05604646348953247
2500,0.000566458828369308,0.051807381212711334,0.05471155190467834
2550,0.0005487084526384713,0.05166315548121929,0.05409417629241944
2600,0.0005308958640575214,0.05054388590157032,0.05276833581924439
2650,0.0005130438137475362,0.050102970227599145,0.05215335011482239
2700,0.0004951751032320709,0.04823387555778027,0.051111802339553834
2750,0.00047731255531392025,0.047677491158246994,0.05089702248573303
2800,0.0004594789849247047,0.047349099218845364,0.05049765491485596
2850,0.00044169716998450814,0.046794673651456835,0.0496286838054657
2900,0.00042398982230878936,0.04542838864028454,0.0487870728969574
2950,0.0004063795585997261,0.044053153842687605,0.0475094153881073
3000,0.00038888887155904146,0.04372508928179741,0.04688745033740997
3050,0.0003715401011592102,0.0424481125921011,0.04592282330989838
3100,0.00035435540610973914,0.04231934256851673,0.04503887403011322
3150,0.0003373567355549646,0.0422636978328228,0.04529693174362183
3200,0.00032056580103951714,0.04149766743183136,0.0442253406047821
3250,0.0003040040487772609,0.040696840658783914,0.04356163847446442
3300,0.0002876926322591259,0.04052968919277191,0.043141887187957764
3350,0.0002716523852348209,0.03947123356163502,0.04268839859962464
3400,0.00025590379510293627,0.039537221118807794,0.042267682909965514
3450,0.0002404669767434216,0.038516785800457004,0.0412802312374115
3500,0.00022536164682586545,0.038399073407053945,0.04093016123771667
3550,0.00021060709862638627,0.03794312052428722,0.04023546802997589
3600,0.00019622217738530528,0.03715869501233101,0.04004007697105408
3650,0.0001822252562370698,0.03675295688211918,0.039331386566162106
3700,0.00016863421274317654,0.036584218740463255,0.03933352553844452
3750,0.0001554664060580628,0.03681328624486923,0.038633172154426576
3800,0.00014273865475713504,0.035461914986371995,0.03857430374622345
3850,0.0001304672153552502,0.03499484606087208,0.03768648362159729
3900,0.00011866776154308867,0.03516115926206112,0.03750954842567444
3950,0.00010735536416794018,0.03437788471579552,0.03724334013462067
4000,9.654447198447042e-05,0.03465630792081356,0.03700278794765472
4050,8.624889320005574e-05,0.034277649223804475,0.03677306139469147
4100,7.648177783825561e-05,0.0341917934641242,0.03654088759422302
4150,6.725560094295091e-05,0.03342592276632786,0.036279868841171264
4200,5.858214664459999e-05,0.03358929891139269,0.03599357557296753
4250,5.0472493108962626e-05,0.03322583850473165,0.0360033118724823
4300,4.293699838751758e-05,0.03255959454923868,0.03548741185665131
4350,3.598528718764604e-05,0.032759696766734125,0.03560702836513519
4400,2.962623857947805e-05,0.032201567590236665,0.0351765615940094
4450,2.386797465510443e-05,0.03269592739641666,0.035071981668472293
4500,1.871785015463767e-05,0.03260442133992911,0.03505874669551849
4550,1.4182443072373596e-05,0.032061604298651215,0.03499894654750824
4600,1.026754625505083e-05,0.03211997855454683,0.034821345329284666
4650,6.978160002939882e-06,0.0323962639272213,0.03479192888736725
4700,4.318485683211859e-06,0.032487972639501095,0.034694779753685
4750,2.291920363743927e-06,0.03161377463489771,0.034689125180244446
4800,9.010524742157356e-07,0.03213274113833904,0.0346627846956253
4850,1.4765850003906068e-07,0.03217256158590317,0.03466079914569855
4883,1.2773854846104272e-10,0.0316911256313324,0.03466085505485535
